  ,トップ1割,Q1,Q2,Q2,Q2,Q2,Q2,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q4,Q4,Q5,Q6,Q7,Q8,Q8,F1,F1,F2,F2,F3,F4,F5,F5,F6,F7,Q9,Q9,Q10,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19-1,Q19-2,Q19-3,Q19-4,Q19-5,Q20,Q20,Q21,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30-1,Q30-2,Q30-3,Q30-4,Q30-5,Q30-6,Q30-7,Q31,Q31,Q32,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41-1,Q41-2,Q41-3,Q41-4,Q41-5
,,日本産の酒類を飲んだことがありますか？,日本酒を飲んだことがありますか？,日本産ビールを飲んだことがありますか？,日本産のウイスキーを飲んだことがありますか？,日本産のリキュールを飲んだことがありますか？,日本産の焼酎を飲んだことがありますか？,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,日本産酒類の中で最も好きな商品はなんですか？,日本産酒類の中で最も好きな商品はなんですか？,【頻度】お酒を飲む頻度はどれくらいですか？（日本産に限らず酒類全般）,【金額】月における酒類に対する支出額はいくらですか？（日本産に限らず酒類全般）,【金額】月における”日本産の酒類”に対する支出額はいくらですか？,【場所】日本産酒類を主にどこで購入しますか？,【場所】日本産酒類を主にどこで購入しますか？,性別,性別,人種,人種,年齢,世帯人数,職業,職業,年収,世帯収入（年）,【接点】日本産ビールをどこで知りましたか？,【接点】日本産ビールをどこで知りましたか？,日本産ビールを飲んだきっかけはなんですか？,日本産ビールを飲んだきっかけはなんですか？,【頻度】日本産ビールを飲む頻度はどれくらいですか？,前回日本産ビールを飲んだのはいつですか？,"【総合評価】日本産ビールの ""総合評価"" は何点ですか？（100点満点）","【期待値】日本産ビールを飲む以前の、日本産ビールに対する ""期待値"" は何点でしたか？（100点満点）",【品質】日本産ビールの ”品質” は何点ですか？（100点満点）,"【価値】日本産ビールの ""価値"" は何点ですか？（100点満点）",【推奨度】日本産ビールの推奨度は何点ですか？（100点満点）,【再購買意欲】日本産ビールをもう一度飲みたいと思う度合いは何点ですか？（100点満点）,"ビールの ""苦味"" はどれくらい好きですか？（100点満点）","ビールの ""甘味"" はどれくらい好きですか？（100点満点）","ビールの ""酸味"" はどれくらい好きですか？（100点満点）","ビールの ""コク"" はどれくらい好きですか？（100点満点）","ビールの ""キレ"" はどれくらい好きですか？（100点満点）",【接点】日本酒をどこで知りましたか？,【接点】日本酒をどこで知りましたか？,日本酒を飲んだきっかけはなんですか？,日本酒を飲んだきっかけはなんですか？,【頻度】日本酒を飲む頻度はどれくらいですか？,前回日本酒を飲んだのはいつですか？,"【総合評価】日本酒の ""総合評価"" は何点ですか？（100点満点）","【期待値】日本酒を飲む以前の、日本酒に対する ""期待値"" は何点でしたか？（100点満点）",【品質】日本酒の ”品質” は何点ですか？（100点満点）,"【価値】日本酒の ""価値"" は何点ですか？（100点満点）",【推奨度】日本酒の推奨度は何点ですか？（100点満点）,【再購買意欲】日本酒をもう一度飲みたいと思う度合いは何点ですか？（100点満点）,"日本酒の ""辛口"" はどれくらい好きですか？（100点満点）","日本酒の ""甘口"" はどれくらい好きですか？（100点満点）","日本酒の ""強い香り"" はどれくらい好きですか？（100点満点）","日本酒の ""淡い香り"" はどれくらい好きですか？（100点満点）","日本酒の ""酸味"" はどれくらい好きですか？（100点満点）","日本酒の ""スッキリ感"" はどれくらい好きですか？（100点満点）","日本酒の ""コク"" はどれくらい好きですか？（100点満点）",【接点】日本産ウィスキーをどこで知りましたか？,【接点】日本産ウィスキーをどこで知りましたか？,日本産ウィスキーを飲んだきっかけはなんですか？,日本産ウィスキーを飲んだきっかけはなんですか？,【頻度】日本産ウィスキーを飲む頻度はどれくらいですか？,前回日本産ウィスキーを飲んだのはいつですか？,"【総合評価】日本産ウィスキーの ""総合評価"" は何点ですか？（100点満点）","【期待値】日本産ウィスキーを飲む以前の、日本産ウィスキーに対する ""期待値"" は何点でしたか？（100点満点）",【品質】日本産ウィスキーの ”品質” は何点ですか？（100点満点）,"【価値】日本産ウィスキーの ""価値"" は何点ですか？（100点満点）",【推奨度】日本産ウィスキーの推奨度は何点ですか？（100点満点）,【再購買意欲】日本産ウィスキーをもう一度飲みたいと思う度合いは何点ですか？（100点満点）,"日本産ウィスキーの ""スッキリ感"" はどれくらい好きですか？（100点満点）","日本産ウィスキーの ""まろやか感"" はどれくらい好きですか？（100点満点）","日本産ウィスキーの ""キレ"" はどれくらい好きですか？（100点満点）","日本産ウィスキーの ""どっしりとして味わい"" はどれくらい好きですか？（100点満点）","日本産ウィスキーの ""強い香り"" はどれくらい好きですか？（100点満点）"
,,,Sake,Beer,Whisky,Liqueur,Shochu,Dassai,Juyondai,Kuheiji,Aramasa,Jozen,sake-other,Kirin,Asahi,Sapporo,Hitachino,Coedo,beer-other,Hakushu,Hibiki,Taketsuru,Yoichi,Yamasaki,whisky-other,Choya plum wine,Midori Lemon Liquor,liquor-other,Torikai,Nakanaka,Kirishima,Murao,Iichiko,shochu-other,,Other,,,,,Other,,Others,,Others,,,,Others,,,,Others,,Others,,,,,,,,,,,,,,,Others,,Others,,,,,,,,,,,,,,,,,Others,,Others,,,,,,,,,,,,,
2,0,Yes,No,Yes,No,Yes,No,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,アサヒビール,,週に2～3回,100,5,酒類販売店（コンビニ含む）,,男性,,白人,,46,1,IT・ビジネス関連,,$81~$100K,$81~$100K,日本料理店,,友人からの勧め,,月に1～4回,1か月以内,80,50,80,75,80,100,80,0,80,60,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,Yes,Yes,Yes,No,Yes,No,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,無回答,,,,,,,男性,,混血,,36,1,宿泊業・飲食サービス,,$21~$40K,$21~$40K,日本料理店,,日本料理店での注文,,1年に1回未満,3年以上前,90,50,70,90,90,80,40,60,60,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,Yes,Yes,Yes,No,No,No,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,キリンビール,,月に1～4回,100,0,日本料理店,,男性,,白人,,53,1,フリーランス,,$41~$60K,$41~$60K,日本料理店,,友人からの勧め,,3か月に1回,2か月以内,85,75,85,85,85,75,50,50,75,75,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,Yes,Yes,Yes,No,No,No,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無回答,,,,,,,女性,,白人,,45,3,金融・保険,,$81~$100K,$151~$200K,,,,,3か月に1回,2か月以内,90,50,90,90,90,100,50,100,50,100,75,その他,gift from friend,友人からの勧め,,1年に1回,1年以内,70,50,90,90,90,70,70,90,90,30,30,70,90,,,,,,,,,,,,,,,,,
13,0,Yes,Yes,Yes,No,No,No,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,サッポロビール,,月に1回以下,50,10,日本料理店,,男性,,白人,,34,3,IT・ビジネス関連,,$81~$100K,$101~$150K,日本料理店,,日本料理店での注文,,6か月に1回,3年以上前,90,90,90,100,100,90,70,80,80,90,100,日本料理店,,日本料理店での注文,,6か月に1回,3年以上前,90,90,90,100,100,90,100,80,70,80,90,90,100,,,,,,,,,,,,,,,,,
14,0,Yes,Yes,No,No,No,No,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,新政,,週に2～3回,25,12,その他,grocery store,男性,,ヒスパニック,,77,1,退職者,,$0~$20K,$0~$20K,,,,,,,,,,,,,,,,,,その他,Movies,自ら購入,,週に2～3回,3年以上前,75,80,75,75,75,100,75,40,75,75,75,75,50,,,,,,,,,,,,,,,,,
15,0,Yes,Yes,Yes,Yes,No,No,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,無回答,,月に1回以下,45,7,日本料理店,,男性,,白人,,,4,IT・ビジネス関連,,,,日本料理店,,日本料理店での注文,,3か月に1回,6か月以内,80,60,80,80,90,90,40,40,40,80,80,日本料理店,,日本料理店での注文,,1年に1回未満,3年以内,70,60,80,70,70,60,80,60,60,80,50,80,80,日本料理店,,日本料理店での注文,,1年に1回,1年以内,80,50,80,80,90,100,70,90,80,70,90
16,0,Yes,No,No,No,No,Yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,その他,,月に1回以下,15,0,,friends,女性,,白人,,24,2,開発,,$0~$20K,$0~$20K,,,,,,,,,,,,,,,,,,,,,,1年に1回未満,6か月以内,75,70,75,75,70,50,70,70,60,75,70,60,75,,,,,,,,,,,,,,,,,
